INT,DESCRIPTION,STATUS,VLAN,MAC ADDRESS,IP,ACTIVE (YES/NO)
Server,Imperva log downloader Server,N/A,N/A,N/A,192.168.168.73 ,
Server,Bloomberg SFTP Test - For DEV Team,N/A,N/A,N/A,192.168.168.71,
Server,BSP API Test for OS Upgrade,N/A,N/A,N/A,192.168.168.72,
Server,DMS UAT Server,N/A,N/A,N/A,192.168.168.74,
Server,Temporary ESXI Destination,N/A,N/A,N/A,192.168.167.16,
Server,VMware Helper,N/A,N/A,N/A,192.168.167.200,
Storage,SVC Virtual IP Address for Node 1 - V6,N/A,N/A,N/A,192.168.167.136,
Server,HA Proxy test,N/A,N/A,N/A,192.168.168.75,
Server,VMWare VSphere Replication for PROD ,N/A,N/A,N/A,192.168.167.54,
Server,DAP UAT Server for BBG SFTP Testing ,N/A,N/A,N/A,192.168.168.76,
Storage,"Management for V6 Storage Prod
",N/A,N/A,N/A,192.168.166.41,
Server,"New for V6 NFS management Production Server 
",N/A,N/A,N/A,192.168.166.40,
Storage,Temporary Management IP for Storage - DR,N/A,N/A,N/A,192.168.166.39,
Server,Temporary Management IP for NFS Server DR ,N/A,N/A,N/A,192.168.166.38,
Server,CAAC DB Test Server for ASM Automation Project,N/A,N/A,N/A,192.168.168.77,
Server,IMM for Comms and Reports Node 2,N/A,N/A,N/A,192.168.167.9,
Server,IMM for Comms and Reports Node 1 ,N/A,N/A,N/A,192.168.167.11,
Server,"NG-TEST-ForwardBonds
",N/A,N/A,N/A,192.168.168.92,
Server,"VERSA_SYSLOG_MGMT
",N/A,N/A,N/A,192.168.167.45,
Server,PDTC Portal ,N/A,N/A,N/A,192.168.168.24,
Server,PDTC Portal APP/Web Server,N/A,N/A,N/A,192.168.168.23,
Facilities,"NG-PDU-00_192.168.167.240

",N/A,N/A,N/A,192.168.167.240,
Facilities,"NG_NEW_PDU2-192.168.167.151
",N/A,N/A,N/A,192.168.167.151,
Server,TIS Test server ( Contrib) ,N/A,N/A,N/A,192.168.168.7,
Server,TIS Test sever ,N/A,N/A,N/A,192.168.168.6,
Server,PostgresSQL for Report Server (On-prem) ,N/A,N/A,N/A,192.168.168.26,
Server,Test Server for Multi Writer Application,N/A,N/A,N/A,192.168.168.34,
Server,Test Server for Multi Writer Application  ,N/A,N/A,N/A,192.168.168.33,
Server,Copy of LUCI Cluster Manager for Multi Writer Testing ,N/A,N/A,N/A,192.168.168.35,
Server,APP GATE ZERO TRUST Test - Located at TEST VM ,N/A,N/A,N/A,192.168.168.18,
